record_id,citation_key,title,journal,publication_year,analysis_period,study_summary,case_report,case_report_conclusion,workflow_stage,specialty,specialty_other_detail,evaluation_target,device,dimensionality,image_modalities,image_modality_other_detail,rendering_type,rendering_other_detail,aux_visualization_content,anchoring_context,registration_method,perception_support,perception_cues,specialty_label,device_label,dimensionality_label,rendering_type_label,registration_method_label,workflow_stage_label,evaluation_target_label,image_modalities_label,anchoring_context_label,perception_cues_label,aux_visualization_content_label
1949,State 1996,Technologies for augmented reality systems: Realizing ultrasound-guided needle biopsies,SIGGRAPH,1996,Before 2010,Visualize US in-situ to guid the needle biopsy. use occlusion to enhance depth cue.,False,,intraoperative,oncologic,,phantom,hmd_vst,2d_3d,us,,no_post_processing,,,in_situ,marker_other,True,occlusion,Oncologic,HMD (Video See-Through),2D + 3D,No Post-processing,Other Marker,Intraoperative,Phantom,Ultrasound,In-situ,Occlusion,
1943,Fuchs 1998,Augmented reality visualization for laparoscopic surgery,MICCAI,1998,Before 2010,A 3D visualization system to assist with laparoscopic surgical procedures. Use 2D image + depth estimation to reconstruct 3D scene.,,,intraoperative,abdominal,,phantom,hmd_vst,3d,rgb,,surface_modeling,,,in_situ,,False,,Abdominal,HMD (Video See-Through),3D,Surface Modeling,,Intraoperative,Phantom,RGB Camera,In-situ,,
21,Y 1998,Image guidance of breast cancer surgery using 3-D ultrasound images and augmented reality visualization,IEEE TRANSACTIONS ON MEDICAL IMAGING,1998,Before 2010,augmented reality visualization for the guidance of breast-conservative cancer surgery (reconstruct 3D model from US directly thus eliminating the needs for registration),False,,intraoperative,oncologic,,phantom|patient,spatial_monitor,3d,us,,volume_rendering,,,off_situ,,False,,Oncologic,Spatial Monitor,3D,Volume Rendering,,Intraoperative,"Phantom, Patient",Ultrasound,Off-situ,,
5803,Edwards 1999,Stereo augmented reality in the surgical microscope,Medicine Meets Virtual Reality,1999,Before 2010,Designed a pipeline to have AR on microscope,False,,not_specified,not_specified,,phantom|patient,microscope,3d,not_specified,,other_process,,,in_situ,marker_optical,False,,Not Specified,Microscope,3D,Other Process,Optical Marker,Not Specified,"Phantom, Patient",Not Specified,In-situ,,
1942,Dey 2000,Mixed reality merging of endoscopic images and 3-D surfaces,MICCAI,2000,Before 2010,Map endoscopic images to CT-generated model,,,intraoperative,neurosurgery,,virtual,spatial_monitor,3d,ct|rgb,,surface_modeling,,,off_situ,,False,,Neurosurgery,Spatial Monitor,3D,Surface Modeling,,Intraoperative,Virtual,"CT, RGB Camera",Off-situ,,
1937,Mitschke 2000,Interventions under video-augmented X-Ray guidance: Application to needle placement,MICCAI,2000,Before 2010,the needle placement procedure can be performed under this augmented reality visualization instead of fluoroscopy. Only two single X-ray images from different unknown C-arm positions are needed to align the needle to a target structure labeled by the surgeon in both X-ray images.,False,,intraoperative,orthopedic,,phantom,spatial_monitor,2d,ct|rgb,,no_post_processing,,,off_situ,,False,,Orthopedic,Spatial Monitor,2D,No Post-processing,,Intraoperative,Phantom,"CT, RGB Camera",Off-situ,,
5798,Salb 2000,Intraoperative presentation of surgical planning and simulation results using a stereoscopic see-through head-mounted display,SPIE,2000,Before 2010,"Some early study about AR visualization, specifically discussed the calibration, registration, the system infrastructure, and some visualizaiton sample.",False,,not_specified,not_specified,,phantom,hmd_vst,3d,not_specified,,no_post_processing,,,in_situ,markerless,False,,Not Specified,HMD (Video See-Through),3D,No Post-processing,Markerless,Not Specified,Phantom,Not Specified,In-situ,,
5787,Stetten 2001,Overlaying ultrasonographic images on direct vision,J Ultrasound,2001,Before 2010,"Enable in-situ visualization of ultrasound so clinicians can use direct hand–eye coordination during invasive procedures, by merging the patient’s visible surface with a simultaneous ultrasound slice.",False,,intraoperative,general,,not_specified,spatial_projection_semtransparent,2d,us,,no_post_processing,,,in_situ,,False,,General,Semi-transparent Projection,2D,No Post-processing,,Intraoperative,Not Specified,Ultrasound,In-situ,,
5753,Khamene 2003,Local 3D reconstruction and augmented reality visualization of free-hand ultrasound for needle biopsy procedures,MICCAI,2003,Before 2010,Use tracking to view the ultrasound image and its reconstructions in-situ,False,,intraoperative,not_specified,,mixed,hmd_vst,3d,us,,no_post_processing,,,in_situ,marker_optical,False,,Not Specified,HMD (Video See-Through),3D,No Post-processing,Optical Marker,Intraoperative,Mixed,Ultrasound,In-situ,,
1866,Scheuering 2003,Intraoperative augmented reality for minimally invasive liver interventions,Proc SPIE Int Soc,2003,Before 2010,Our system consists of a preoperative planning tool for liver surgery and an intraoperative real time visualization component. The planning software takes into account the individual anatomy of the intrahepatic vessels and determines the vascular territories. ( only apply direct volume rendering methods that immediately display the voxel data),False,,intraoperative,abdominal,,patient,spatial_monitor,3d,ct,,volume_rendering,,,off_situ,,False,,Abdominal,Spatial Monitor,3D,Volume Rendering,,Intraoperative,Patient,CT,Off-situ,,
27,C 2004,Computer-aided surgery based on auto-stereoscopic augmented reality,International Conference on Information Visualisation,2004,Before 2010,(auto-stereoscopic) the ultimate application of a proposed system is to assist the surgeon in oncological liver surgery,False,,intraoperative,oncologic,,phantom,spatial_monitor,3d,mri,,surface_modeling,,,off_situ,,False,,Oncologic,Spatial Monitor,3D,Surface Modeling,,Intraoperative,Phantom,MRI,Off-situ,,
1931,Reitinger 2004,Tools for augmented reality based liver resection planning,Proc SPIE Int Soc Opt Eng,2004,Before 2010,use AR as planning tool that can help with quantitative analysis. For liver. Measuring tool.,False,,planning,abdominal,,virtual,hmd_ost,3d,ct,,surface_modeling,,tool_location,off_situ,,False,,Abdominal,HMD (Optical See-Through),3D,Surface Modeling,,Planning,Virtual,CT,Off-situ,,Tool Location
5722,Vogt 2004,Augmented reality system for MR-guided interventions: Phantom studies and first animal test,SPIE,2004,Before 2010,An AR system to visualize MRI and guide surgery,False,,intraoperative,not_specified,,phantom|animal,hmd_vst,3d,mri,,no_post_processing,,tool_location,in_situ,marker_optical,False,,Not Specified,HMD (Video See-Through),3D,No Post-processing,Optical Marker,Intraoperative,"Phantom, Animal",MRI,In-situ,,Tool Location
